property_name,address,latitude,longitude,price_range,bedroom,bathroom,room_area,amenities
5034-5046 S Woodlawn Apartments,"5034 S Woodlawn Ave, Chicago, IL, 60615",41.802724,-87.596975,"$1,350–$2,612",1 - 3 bed,1 - 1 ba,785 - 1187 sq ft,"Pet Friendly, Parking Available"
Fifteen98 Naperville Apartments,"1598  Fairway Dr, Naperville, IL, 60563",41.794268,-88.216291,"$1,290–$1,820",1 - 2 bed,1 - 2 ba,714 - 1010 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
5528-5532 South Everett Apartments,"5528-5532 S Everett Ave, Chicago, IL, 60637",41.794342,-87.582951,"$975–$1,686",0 - 1 bed,1 - 1 ba,352 - 556 sq ft,Pet Friendly
1255 W. Bryn Mawr Apartments,"1255 W Bryn Mawr Ave, Chicago, IL, 60660",41.983573,-87.662179,"$845–$1,090",0 - 1 bed,1 - 1 ba,260 - 455 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Condo, Lincoln Park","2128 N Hudson Ave #403, Chicago, IL, 60614",41.920987,-87.640394,"$1,975",1 Bed,1 Bath,5 sq ft,"Air Conditioning, In-unit Laundry"
"1 bedroom Condo, West Loop","770 W Gladys Ave #06, Chicago, IL, 60661",41.8775,-87.646773,"$2,700",1 Bed,1 Bath,750 sq ft,"Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
The Sovereign Apartments,"1040 W Granville Ave, Chicago, IL, 60660",41.995001,-87.657304,"$810–$1,390",0 - 1 bed,1 - 1 ba,290 - 675 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
"1 bedroom Apartment, South Loop","800 S Wells St #1002, Chicago, IL, 60607",41.871556,-87.634138,"$1,890",1 Bed,1 Bath,653 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
East Park Tower Apartments,"5242 S Hyde Park Blvd, Chicago, IL, 60615",41.799903,-87.584519,"$1,095–$2,693",0 - 1 bed,1 - 1 ba,398 - 900 sq ft,"Pet Friendly, Parking Available, Utilities Included"
544 West Melrose Apartments,"544 W Melrose St, Chicago, IL, 60657",41.941225,-87.643805,"$1,138–$1,686",0 - 1 bed,1 - 1 ba,300 - 525 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
3510 N Pine Grove Apartments,"3510 N Pine Grove Ave, Chicago, IL, 60657",41.946372,-87.645197,"$1,165–$1,550",0 - 1 bed,1 - 1 ba,330 - 615 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
"1 bedroom Apartment, Uptown","1250 W Montrose Ave #111, Chicago, IL, 60640",41.961856,-87.661522,"$1,250",1 Bed,1 Bath,3 sq ft,"Pet Friendly, Parking Available, Utilities Included"
Barrington Lakes Apartments,"2200  Hassell Rd, Hoffman Estates, IL, 60169",42.06198,-88.132354,"$925–$1,900",0 - 3 bed,1 - 2 ba,440 - 1400 sq ft,"Pet Friendly, Parking Available, Air Conditioning, Utilities Included"
The Kenmore on Edgewater Apartments,"5860 N Kenmore Ave, Chicago, IL, 60660",41.989263,-87.656831,"$975–$1,425",0 - 1 bed,1 - 1 ba,290 - 550 sq ft,"Pet Friendly, Parking Available, Utilities Included"
The Villages of Eastlake #7736 Apartments,"7736 N Eastlake Terrace, Chicago, IL, 60626",42.021867,-87.665773,"$1,325–$1,795",1 - 2 bed,1 - 1 ba,540 - 715 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Apartment, Uptown","4404 N Magnolia Ave #410, Chicago, IL, 60640",41.961855,-87.661302,"$1,250",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Apartment, Logan Square","2636 N Avers Ave #GARDN, Chicago, IL, 60647",41.929339,-87.723476,"$1,195",1 Bed,1 Bath,750 sq ft,"Pet Friendly, Air Conditioning, Utilities Included"
Hancock Square at Arlington Station Apartments,"200 N Arlington Heights Rd, Arlington Heights, IL, 60004",42.084366,-87.980844,"$1,505–$3,947",0 - 2 bed,1 - 2 ba,608 - 1128 sq ft,"Pet Friendly, Parking Available, In-unit Laundry"
536 West Addison Apartments,"536 W Addison St, Chicago, IL, 60613",41.948104,-87.64531,"$1,169–$1,599",0 - 1 bed,1 - 1 ba,360 - 635 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
"1 bedroom Condo, River North","630 N Franklin St #610, Chicago, IL, 60654",41.893409,-87.636225,"$1,900",1 Bed,1 Bath,712 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Apartment, Wicker Park","1532 N Greenview Ave #2-F, Chicago, IL, 60657",41.90984,-87.665541,"$1,700",1 Bed + den,1 Bath,750 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
Clarendon Shores Apartments,"4750 N Clarendon Ave, Chicago, IL, 60640",41.968904,-87.650106,"$1,215–$1,245",1 - 1 bed,1 - 1 ba,575 - 650 sq ft,"Pet Friendly, Parking Available"
1360-64 E. 52nd St Apartments,"1360-1364 E 52nd St, Chicago, IL, 60615",41.801267,-87.592715,"$1,715",2 - 2 bed,1 - 1 ba,930 - 930 sq ft,"Pet Friendly, Utilities Included"
River North Park Apartments,"320 W Illinois St, Chicago, IL, 60654",41.890883,-87.636488,"$1,505–$4,080",0 - 2 bed,1 - 2 ba,430 - 1181 sq ft,"Pet Friendly, Parking Available, In-unit Laundry, Utilities Included"
5300 South Drexel Apartments,"5300 S Drexel Ave, Chicago, IL, 60615",41.798414,-87.604261,"$1,250–$2,885",1 - 2 bed,1 - 1 ba,514 - 693 sq ft,"Pet Friendly, Parking Available"
Ridge & Magnolia Apartments,"5634-42 N Magnolia Ave, Chicago, IL, 60660",41.98447,-87.661417,$880,0 - 0 bed,1 - 1 ba,417 - 417 sq ft,"Pet Friendly, Utilities Included"
525 W. Cornelia / 520 W. Stratford Apartments,"525 W Cornelia Ave, Chicago, IL, 60657",41.946299,-87.643437,$955,0 - 0 bed,1 - 1 ba,350 - 350 sq ft,"Pet Friendly, Utilities Included"
Cornell Terrace Apartments,"5430 S Cornell Ave, Chicago, IL, 60615",41.797171,-87.586015,"$1,220–$1,831",1 - 1 bed,1 - 1 ba,415 - 415 sq ft,"Pet Friendly, Parking Available"
5320 South Drexel Apartments,"5320 S Drexel Blvd, Chicago, IL, 60615",41.797979,-87.604187,"$1,600–$2,515",2 - 2 bed,1 - 1 ba,643 - 643 sq ft,Pet Friendly
The Blackwood Apartments,"5200 S Blackstone Ave, Chicago, IL, 60615",41.800753,-87.590718,"$1,330–$2,938",1 - 2 bed,1 - 2 ba,450 - 900 sq ft,"Pet Friendly, Parking Available"
420 W Melrose Apartments,"420 W Melrose St, Chicago, IL, 60657",41.941374,-87.640345,"$1,040",0 - 0 bed,1 - 1 ba,275 - 275 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Condo, Lakeview","3201 N Seminary Ave #999, Chicago, IL, 60657",41.940202,-87.656228,"$2,200",1 Bed,1 Bath,900 sq ft,"Parking Available, Air Conditioning, In-unit Laundry"
450 West Melrose Apartments,"450 W Melrose St, Chicago, IL, 60657",41.94117,-87.64156,"$1,165–$1,513",0 - 1 bed,1 - 1 ba,370 - 650 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
777 South State Apartments,"2 E 8th St, Chicago, IL, 60605",41.871976,-87.627172,"$1,595–$6,975",0 - 2 bed,1 - 2 ba,480 - 2095 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
"1 bedroom Apartment, Printer's Row","619 S Lasalle St #203, Chicago, IL, 60605",41.87398,-87.631364,"$1,695",1 Bed,1 Bath,600 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Printer's Row","619 S Lasalle St #204, Chicago, IL, 60605",41.87398,-87.631364,"$1,695",1 Bed,1 Bath,650 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
Circa 922 Apartments,"922 W Washington Blvd, Chicago, IL, 60607",41.883349,-87.650911,"$1,876–$5,235",0 - 3 bed,1 - 2 ba,515 - 1537 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
Ellis Court Apartments,"5301-5309 S Ellis Ave, Chicago, IL, 60615",41.799193,-87.601034,"$1,000–$2,464",0 - 1 bed,1 - 1 ba,280 - 640 sq ft,Pet Friendly
"1 bedroom Condo, Albany Park","4748 N Albany Ave #3, Chicago, IL, 60625",41.968218,-87.706277,"$1,100",1 Bed,1 Bath,600 sq ft,"Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, East Village","1818 W Race St #1, Chicago, IL, 60622",41.891848,-87.67288,"$1,495",1 Bed,1 Bath,1000 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
Buena Shores Apartments,"833 W Buena Ave, Chicago, IL, 60613",41.958293,-87.6512,"$1,310–$1,900",1 - 3 bed,1 - 1 ba,525 - 700 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
"1 bedroom Condo, River North","600 N Dearborn St #1806, Chicago, IL, 60654",41.892539,-87.629662,"$2,450",1 Bed,1 Bath,795 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Condo, East Village","1610 W Augusta Blvd #3-E, Chicago, IL, 60622",41.899883,-87.667862,"$1,450",1 Bed,1 Bath,1300 sq ft,"Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
"1 bedroom Apartment, Gold Coast","805 N Lasalle Dr #1201, Chicago, IL, 60610",41.896833,-87.632331,"$2,192",1 Bed,1 Bath,725 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry, Utilities Included"
Maple Court Apartments,"1120-1126 E 47th St, Chicago, IL, 60615",41.809645,-87.598115,"$1,100–$2,061",1 - 1 bed,1 - 1 ba,452 - 622 sq ft,"Pet Friendly, Utilities Included"
430-446 West  Diversey Apartments,"430-446 W Diversey Pkwy, Chicago, IL, 60614",41.933057,-87.640639,"$1,233–$1,699",0 - 1 bed,1 - 1 ba,425 - 700 sq ft,Pet Friendly
"1 bedroom Condo, Gold Coast","100 E Walton St #35E, Chicago, IL, 60611",41.90025,-87.625078,"$2,300",1 Bed,1 Bath,750 sq ft,"Pet Friendly, Air Conditioning, Utilities Included"
5120 South Hyde Park Apartments,"5120 S Hyde Park Blvd, Chicago, IL, 60615",41.801825,-87.585263,"$960–$2,347",0 - 2 bed,1 - 1 ba,303 - 1104 sq ft,"Pet Friendly, Parking Available, Utilities Included"
2738 N Pine Grove Apartments,"2738 N Pine Grove Ave, Chicago, IL, 60614",41.931926,-87.641272,"$915–$1,335",0 - 1 bed,1 - 1 ba,320 - 600 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Apartment, Avondale","2941 W Belmont Ave #2R, Chicago, IL, 60618",41.939175,-87.701962,"$1,450",1 Bed,1 Bath,900 sq ft,"Pet Friendly, Air Conditioning"
5415 South Woodlawn Apartments,"5415 S Woodlawn Ave, Chicago, IL, 60615",41.797316,-87.595912,"$1,525–$2,509",2 - 2 bed,1 - 1 ba,617 - 716 sq ft,Pet Friendly
AMLI at Seven Bridges Apartments,"6466  Double Eagle Dr, Woodridge, IL, 60517",41.76606,-88.071355,"$1,248–$2,969",1 - 2 bed,1 - 2 ba,684 - 1295 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
City Hyde Park Apartments,"5105 S Harper Ave, Chicago, IL, 60615",41.802283,-87.589135,"$1,995–$6,246",1 - 3 bed,1 - 2 ba,611 - 1480 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
5416 South Woodlawn Apartments,"5416 S Woodlawn Ave, Chicago, IL, 60615",41.797416,-87.596917,"$1,825–$3,793",2 - 2 bed,1 - 1 ba,785 - 1000 sq ft,Pet Friendly
Retreat at Seven Bridges Apartments,"6690  Double Eagle Dr, Woodridge, IL, 60517",41.76359,-88.071073,"$1,470–$3,320",0 - 3 bed,1 - 2 ba,650 - 1400 sq ft,"Pet Friendly, In-unit Laundry"
14 West Elm Apartments,"14 W Elm St, Chicago, IL, 60610",41.90327,-87.629214,"$1,295–$1,795",0 - 1 bed,1 - 1 ba,390 - 675 sq ft,"Pet Friendly, Air Conditioning, Utilities Included"
Woodlawn Court Apartments,"5218-5228 S Woodlawn Ave, Chicago, IL, 60615",41.800227,-87.597374,"$1,765–$2,784",2 - 2 bed,1 - 1 ba,800 - 800 sq ft,"Pet Friendly, Parking Available"
439 W Melrose Apartments,"439 W Melrose St, Chicago, IL, 60657",41.940858,-87.641241,"$1,997–$2,497",1 - 1 bed,1 - 1 ba,800 - 1000 sq ft,"Pet Friendly, Parking Available, In-unit Laundry, Utilities Included"
