property_name,address,latitude,longitude,price_range,bedroom,bathroom,room_area,amenities
"1 bedroom Apartment, Lakeview","1618 W Cornelia Ave #02, Chicago, IL, 60657",41.945284,-87.669577,"$1,495",1 Bed,1 Bath,4 sq ft,"Air Conditioning, Utilities Included"
"1 bedroom Apartment, Noble Square","1162 W Grand Ave #4-R, Chicago, IL, 60642",41.891311,-87.657051,"$1,790",1 Bed,1 Bath,671 sq ft,"Air Conditioning, In-unit Laundry"
"1 bedroom Condo, Old Town","1444 N Orleans St #5G, Chicago, IL, 60610",41.90887,-87.637974,"$2,350",1 Bed,1 Bath,725 sq ft,"Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Ravenswood","4420 N Greenview Ave #2E, Chicago, IL, 60640",41.962307,-87.66815,"$1,460",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Utilities Included"
"1 bedroom Apartment, Lakeview","3748 N Broadway Ave #1, Chicago, IL, 60613",41.950408,-87.649331,"$2,400",1 Bed,1 Bath,4 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Lincoln Park","2155 N Elston Ave #712, Chicago, IL, 60614",41.920451,-87.670362,"$2,345",1 Bed,1 Bath,780 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Albany Park","4521 N Harding Ave #2, Chicago, IL, 60625",41.963509,-87.726404,"$1,400",1 Bed,1 Bath,800 sq ft,"Pet Friendly, Air Conditioning"
"1 bedroom Apartment, Skokie","8042  Knox Ave #3B, Skokie, IL, 60076",42.027402,-87.744207,"$1,175",1 Bed,1 Bath,915 sq ft,"Parking Available, Air Conditioning, Utilities Included"
"1 bedroom Apartment, Printer's Row","619 S Lasalle St #712, Chicago, IL, 60605",41.87398,-87.631364,"$1,850",1 Bed,1 Bath,690 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, West Loop","123 N Des Plaines St #1414, Chicago, IL, 60661",41.883618,-87.643776,"$2,672",1 Bed + den,1 Bath,844 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, River North","905 N Orleans St #1011, Chicago, IL, 60610",41.89926,-87.637025,"$2,400",1 Bed,1 Bath,796 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
"1 bedroom Apartment, Logan Square","2340 N California Ave #ID478, Chicago, IL, 60647",41.924227,-87.698228,"$2,660",1 Bed,1 Bath,700 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
